INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.01.2017 0:00:00;1;600000;11949
1;01.01.2017 0:00:00;1;600000;11528
2;01.01.2017 0:00:00;1;600000;11287
3;01.01.2017 0:00:00;1;600000;11060
4;01.01.2017 0:00:00;1;600000;11150
5;01.01.2017 0:00:00;1;600000;11063
6;01.01.2017 0:00:00;1;600000;11229
7;01.01.2017 0:00:00;1;600000;11112
8;01.01.2017 0:00:00;1;600000;11213
9;01.01.2017 0:00:00;1;600000;11470
10;01.01.2017 0:00:00;1;600000;11649
11;01.01.2017 0:00:00;1;600000;11758
12;01.01.2017 0:00:00;1;600000;11738
13;01.01.2017 0:00:00;1;600000;11737
14;01.01.2017 0:00:00;1;600000;12004
15;01.01.2017 0:00:00;1;600000;12496
16;01.01.2017 0:00:00;1;600000;12812
17;01.01.2017 0:00:00;1;600000;12770
18;01.01.2017 0:00:00;1;600000;12794
19;01.01.2017 0:00:00;1;600000;12648
20;01.01.2017 0:00:00;1;600000;12425
21;01.01.2017 0:00:00;1;600000;12171
22;01.01.2017 0:00:00;1;600000;11763
23;01.01.2017 0:00:00;1;600000;11415
