INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.01.2017 0:00:00;1;530000;26263
1;01.01.2017 0:00:00;1;530000;25273
2;01.01.2017 0:00:00;1;530000;24475
3;01.01.2017 0:00:00;1;530000;23795
4;01.01.2017 0:00:00;1;530000;23569
5;01.01.2017 0:00:00;1;530000;23546
6;01.01.2017 0:00:00;1;530000;23660
7;01.01.2017 0:00:00;1;530000;23705
8;01.01.2017 0:00:00;1;530000;23680
9;01.01.2017 0:00:00;1;530000;24092
10;01.01.2017 0:00:00;1;530000;24667
11;01.01.2017 0:00:00;1;530000;25222
12;01.01.2017 0:00:00;1;530000;25310
13;01.01.2017 0:00:00;1;530000;25610
14;01.01.2017 0:00:00;1;530000;25760
15;01.01.2017 0:00:00;1;530000;26066
16;01.01.2017 0:00:00;1;530000;27703
17;01.01.2017 0:00:00;1;530000;28265
18;01.01.2017 0:00:00;1;530000;28083
19;01.01.2017 0:00:00;1;530000;27730
20;01.01.2017 0:00:00;1;530000;27624
21;01.01.2017 0:00:00;1;530000;26960
22;01.01.2017 0:00:00;1;530000;26351
23;01.01.2017 0:00:00;1;530000;25178
0;02.01.2017 0:00:00;1;530000;24200
1;02.01.2017 0:00:00;1;530000;23495
2;02.01.2017 0:00:00;1;530000;23019
3;02.01.2017 0:00:00;1;530000;22862
4;02.01.2017 0:00:00;1;530000;22764
5;02.01.2017 0:00:00;1;530000;23545
6;02.01.2017 0:00:00;1;530000;24044
7;02.01.2017 0:00:00;1;530000;24388
8;02.01.2017 0:00:00;1;530000;25256
9;02.01.2017 0:00:00;1;530000;26166
10;02.01.2017 0:00:00;1;530000;26657
11;02.01.2017 0:00:00;1;530000;26996
12;02.01.2017 0:00:00;1;530000;26858
13;02.01.2017 0:00:00;1;530000;26830
14;02.01.2017 0:00:00;1;530000;26864
15;02.01.2017 0:00:00;1;530000;27564
16;02.01.2017 0:00:00;1;530000;29010
17;02.01.2017 0:00:00;1;530000;29478
18;02.01.2017 0:00:00;1;530000;29089
19;02.01.2017 0:00:00;1;530000;28843
20;02.01.2017 0:00:00;1;530000;28726
21;02.01.2017 0:00:00;1;530000;28034
22;02.01.2017 0:00:00;1;530000;27023
23;02.01.2017 0:00:00;1;530000;26008
0;03.01.2017 0:00:00;1;530000;24768
